,Included,Paper_ID,QuickRef,Title,Authors (full),Authors (short),Year,DOI,URL,Citations (28 May 2024),Cites/yr,Item type
,Yes,1,Critch2023,TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,"Critch A, Russell S",Critch & Russell,2023,10.48550/arXiv.2306.06924,https://arxiv.org/abs/2306.06924,12,6,Preprint
,Yes,2,Cui2024,"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems","Cui T, Wang Y, Fu C, Xiao Y, Li S, Deng X, Liu Y, Zhang Q, Qiu Z, Li P, Tan Z, Xiong J, Kong X, Wen Z, Xu K, Li Q",Cui et al.,2024,10.48550/arXiv.2401.05778,https://arxiv.org/abs/2401.05778,15,15,Preprint
,Yes,3,Cunha2023,Navigating the Landscape of AI Ethics and Responsibility,"Cunha PR, Estima J",Cunha & Estima,2023,10.1007/978-3-031-49008-8_8,https://doi.org/10.1007/978-3-031-49008-8_8,0,0,Conference Paper
,Yes,4,Deng2023,"Towards Safer Generative Language Models: A Survey on Safety Risks, Evaluations, and Improvements","Deng J, Cheng J, Sun H, Zhang Z, Huang M",Deng et al.,2023,10.48550/arXiv.2302.09270,https://arxiv.org/abs/2302.09270,1,1,Preprint
,Yes,5,Hagendorff2024,Mapping the Ethics of Generative AI: A Comprehensive Scoping Review,Hagendorff T,Hagendorff,2024,10.48550/arXiv.2402.08323,https://arxiv.org/abs/2402.08323,0,0,Preprint
,Yes,6,Hogenhout2021,A framework for ethical AI at the United Nations,Hogenhout L,Hogenhout,2021,10.48550/arXiv.2104.12547,https://arxiv.org/abs/2104.12547,11,3,Preprint
,Yes,7,Kilian2023,Examining the differential risk from high-level artificial intelligence and the question of control,"Kilian KA, Ventura CJ, Bailey MM","Kilian, Ventura & Bailey",2023,10.1016/j.futures.2023.103182,https://doi.org/10.1016/j.futures.2023.103182,7,4,Journal Article
,Yes,8,McLean2023,The risks associated with Artificial General Intelligence: A systematic review,"McLean S, Read GJ, Thompson J, Baber C, Stanton NA, Salmon PM",McLean et al.,2023,10.1080/0952813X.2021.1964003,https://doi.org/10.1080/0952813X.2021.1964003,87,44,Journal Article
,Yes,9,Meek2016,Managing the ethical and risk implications of rapid advances in artificial intelligence: A literature review,"Meek T, Barham H, Beltaif N, Kaadoor A, Akhter T",Meek et al.,2016,10.1109/PICMET.2016.7806752,https://doi.org/10.1109/PICMET.2016.7806752,38,4,Conference Paper
,Yes,10,Paes2023,Social Impacts of Artificial Intelligence and Mitigation Recommendations: An Exploratory Study,"Paes VM, Silveira FF, Akkari AC","Paes, Silveira & Akkari",2023,10.1007/978-3-031-04435-9_54,https://doi.org/10.1007/978-3-031-04435-9_54,3,2,Conference Paper
